Название|Цена|Адрес|Ссылка
1-комн. квартира, 38,44 м², 6/24 этаж Секция 1 • Сдача корпуса 2 кв. 2026|8 330 000 ₽|Новосибирская область, Новосибирск, р-н Октябрьский, м. Октябрьская, улица Шевченко, 19/1к3|https://novosibirsk.cian.ru/sale/flat/309605967/
Срочная продажа! 2-комн. квартира, 58,3 м², 23/26 этаж|6 600 000 ₽|Новосибирская область, Новосибирск, р-н Советский, мкр. ОбьГЭС, м. Студенческая, Приморская улица, 5|https://novosibirsk.cian.ru/sale/flat/312064650/
2-комн. апартаменты, 56,6 м², 19/30 этаж Секция 1 • Сдача корпуса 3 кв. 2026|14 300 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Аэропорт мкр|https://novosibirsk.cian.ru/sale/flat/306495466/
2-комн. квартира, 59,6 м², 7/17 этаж |6 690 000 ₽|Новосибирская область, Новосибирск, р-н Калининский, мкр. Родники, м. Заельцовская, улица Краузе, 19|https://novosibirsk.cian.ru/sale/flat/306202391/
2-комн. квартира, 36,48 м², 25/28 этаж Секция 3 • Сдача корпуса 4 кв. 2026|8 810 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Площадь Гарина-Михайловского, Сухарная улица, 109/2|https://novosibirsk.cian.ru/sale/flat/313535185/
2-комн. квартира, 53 м², 11/12 этаж |6 900 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Заельцовская, Охотская улица, 88/2|https://novosibirsk.cian.ru/sale/flat/311339006/
2-комн. квартира, 53,87 м², 19/28 этаж Секция 3 • Сдача корпуса 4 кв. 2026|10 730 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Площадь Гарина-Михайловского, Сухарная улица, 109/2|https://novosibirsk.cian.ru/sale/flat/313535136/
2-комн. квартира, 45,8 м², 1/26 этаж |6 999 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, мкр. Лесоперевалка, м. Площадь Гарина-Михайловского, улица Ясный Берег, 16|https://novosibirsk.cian.ru/sale/flat/313213303/
1-комн. квартира, 37 м², 4/20 этаж Секция 4 • Сдача корпуса 4 кв. 2025|4 750 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Студенческая, 18-й Бронный переулок, 16|https://novosibirsk.cian.ru/sale/flat/303847639/
Просторная 1к квартира 1-комн. квартира, 46 м², 2/16 этаж|7 003 500 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Площадь Гарина-Михайловского, Сухарная улица, 105/1|https://novosibirsk.cian.ru/sale/flat/311359321/
2-комн. квартира, 93,33 м², 2/15 этаж Секция 4 • Сдача корпуса 3 кв. 2025|13 160 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 88|https://novosibirsk.cian.ru/sale/flat/302096118/
Просторная 1к квартира 1-комн. квартира, 48,4 м², 21/29 этаж|7 368 900 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Площадь Гарина-Михайловского, Сухарная улица, 105/1|https://novosibirsk.cian.ru/sale/flat/311326775/
2-комн. квартира, 84,08 м², 10/14 этаж Секция 3 • Сдача корпуса 1 кв. 2026|13 100 000 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, мкр. Аэропорт, м. Заельцовская, улица Аэропорт, 88|https://novosibirsk.cian.ru/sale/flat/311183874/
Просторная 1к квартира 1-комн. квартира, 48,5 м², 5/16 этаж|7 435 050 ₽|Новосибирская область, Новосибирск, р-н Заельцовский, м. Площадь Гарина-Михайловского, Сухарная улица, 105/1|https://novosibirsk.cian.ru/sale/flat/311360893/
2-комн. квартира, 45 м², 1/9 этаж |4 100 000 ₽|Новосибирская область, Новосибирск, р-н Ленинский, м. Студенческая, Путевая улица, 17|https://novosibirsk.cian.ru/sale/flat/309431349/
2-комн. квартира, 67,7 м², 3/18 этаж |7 400 000 ₽|Новосибирская область, Новосибирск, р-н Кировский, м. Площадь Маркса, улица Костычева, 74/1|https://novosibirsk.cian.ru/sale/flat/304227267/
